data,produto,quantidade,preco_unitario,total venda
11/29/2023,Hummus Trio Pack,95,4444,422180
12/23/2022,Sports Windbreaker,14,14394,201516
1/5/2025,Garlic Herb Grilled Chicken,6,17692,106152
2/27/2023,Multi-Layer Food Steamer,75,4142,310650
12/27/2022,Honey Sesame Cashews,45,3059,137655
2/17/2025,Chocolate Fudge Brownie Mix,67,15882,1064094
9/21/2024,Pasta Portion Control Measure,74,13850,1024900
6/21/2023,Waffle Maker,90,15669,1410210
2/27/2023,Pressure Washer Accessories Kit,15,15896,238440
9/9/2022,Eco-Friendly Yoga Blocks,43,170,7310
3/19/2025,Free-Range Eggs,85,7491,636735
8/19/2023,Kids' Craft Supplies Set,77,9009,693693
7/29/2024,Digital Bullet Journal,69,3532,243708
8/12/2024,Kids' Craft Supplies Set,7,1233,8631
5/21/2023,Pita Bread,89,11736,1044504
9/11/2023,Cranberry Citrus Sauce,57,11661,664677
6/13/2024,Electric Wax Warmer,48,17812,854976
2/22/2025,Teriyaki Salmon Fillets,87,6153,535311
8/14/2023,Savory Snack Mix,73,2064,150672
10/12/2024,Roasted Red Pepper Hummus,94,18124,1703656
6/26/2024,Eggs (dozen),14,12673,177422
3/11/2024,Mashed Sweet Potatoes,35,1025,35875
3/20/2024,Honey Sesame Cashews,48,19484,935232
8/5/2023,Fleece Lined Leggings,99,18331,1814769
10/12/2024,Roasted Red Pepper Sauce,29,13218,383322
5/9/2023,Pet Hair Vacuum Cleaner Attachment,69,1307,90183
6/7/2024,Pasta (Linguine),8,1003,8024
12/18/2022,Cheddar & Bacon Potato Skins,64,5533,354112
9/28/2024,Potting Soil,5,17764,88820
7/17/2023,Mini Air Hockey Table,100,10251,1025100
8/21/2023,Personalized Pet ID Tags,40,8320,332800
9/15/2022,Underwater Camera,64,14365,919360
8/11/2024,Coconut Milk,91,11422,1039402
2/5/2025,Chocolate Chip Cookie Dough,56,19008,1064448
3/23/2023,High-Low Hem Tee,18,7662,137916
11/9/2024,Dog Training Collar,35,7473,261555
2/14/2023,Chipotle Black Bean Burger,72,16500,1188000
3/17/2024,Animal Paw Print Soap Dispenser,84,11383,956172
2/19/2023,Cacao Nibs,93,1241,115413
11/6/2023,Habanero Hot Sauce,74,10116,748584
9/13/2024,Wireless Security System,53,6411,339783
2/24/2025,Garlic and Herb Rub,10,1661,16610
4/17/2024,Coconut Cream Pie,79,15141,1196139
12/3/2024,Organic Sweet Potatoes,30,12674,380220
1/28/2024,Strawberry Banana Smoothie Pack,33,17359,572847
1/3/2024,Cocktail Shaker and Mixing Glass Set,40,1197,47880
12/1/2024,Vegan Mayonnaise,6,2866,17196
9/19/2024,Lentil Vegetable Stew,97,14765,1432205
3/24/2023,Garlic Butter Sauce,20,6049,120980
9/1/2023,Vegetable Samosas,57,7949,453093
11/8/2024,Potato Wedge Seasoning,5,11134,55670
12/15/2024,Infrared Thermometer Gun,84,6611,555324
12/22/2024,Self-Massaging Pillow,34,13916,473144
1/23/2024,Professional Chef Knife,52,2888,150176
4/10/2023,Ginger Tea,23,8024,184552
11/30/2022,Italian Sausage Links,28,6847,191716
2/21/2023,Sweet and Sour Sauce,11,13004,143044
7/13/2023,Almond Flour,71,1408,99968
1/16/2023,Smoked Paprika,8,7583,60664
10/13/2023,Automatic Pet Feeder,17,14659,249203
6/29/2023,Coconut Bowls Set,59,6456,380904
3/15/2025,Cinnamon Raisin Bagels,8,6553,52424
11/30/2024,Habanero Hot Sauce,19,2725,51775
10/3/2022,Gardening Fairy Figurines,58,15510,899580
8/4/2024,Compact Portable Grill,73,3609,263457
9/6/2024,Grapes (red),1,3617,3617
7/9/2023,Creamy Garlic Mashed Potatoes,22,7718,169796
12/1/2023,Chocolate Chip Cliff Bars,85,5720,486200
11/21/2024,Spicy BBQ Sauce,24,4706,112944
8/15/2023,Kids' Trampoline,33,18834,621522
9/14/2024,Kids' Activity Book,63,13181,830403
4/3/2024,Portable Solar Camp Shower,39,5716,222924
9/30/2023,Kale and Quinoa Salad,4,6513,26052
10/2/2024,Thai Basil Fried Rice,29,15367,445643
1/7/2025,Multi-Layer Food Steamer,65,8596,558740
3/20/2025,Woven Storage Baskets,33,10036,331188
8/7/2024,Reversible Swimming Pool Lounger,86,15360,1320960
11/21/2023,Greek Yogurt Parfait,35,16790,587650
10/6/2024,Wireless Earbuds,39,13673,533247
10/30/2023,Customizable Name Plate,6,10669,64014
10/7/2023,Camping Tent,5,1778,8890
2/21/2024,Whole Grain Hamburger Buns,7,7074,49518
8/4/2023,Comfortable Bed Pillow,26,7808,203008
9/8/2023,Tortilla Chips,24,3485,83640
11/20/2023,Vegan Chocolate Cake Mix,47,14973,703731
12/12/2022,Pet Tracking Collar,35,12525,438375
12/6/2022,Herbal Tea Infuser,39,18971,739869
8/12/2024,Glass Tea Pot,15,12806,192090
8/26/2023,Homestyle Beef Stew,90,19682,1771380
9/13/2024,Nutty Trail Mix,94,15222,1430868
4/6/2024,Cooking Utensil Set,56,7106,397936
10/17/2024,Mesh Sports Leggings,27,1093,29511
8/9/2023,LED Strip Light Kit,39,18964,739596
6/2/2024,Stainless Steel Grater,14,15716,220024
6/25/2023,Wireless Mouse,32,4284,137088
10/27/2023,Pepperoni Pizza Rolls,18,6287,113166
7/20/2024,Chili Beans (canned),13,19417,252421
6/12/2024,Organic Quinoa Salad,95,5526,524970
12/24/2022,Organic Coconut Sugar,88,6274,552112
2/8/2023,Peanut Butter,10,17486,174860
6/11/2023,Eco-Friendly Yoga Mat,20,5188,103760
5/15/2023,Lemon Basil Pasta Sauce,3,782,2346
1/11/2023,Pumpkin Waffles,4,12817,51268
10/4/2023,Adjustable Height Standing Desk Converter,65,17707,1150955
1/25/2023,Fitness Jump Rope,26,17469,454194
5/29/2023,Cacao Powder,1,10582,10582
2/5/2023,Gardening Gloves,95,11841,1124895
2/23/2023,Thai Peanut Dressing,6,13217,79302
10/7/2024,Pocket Blanket,23,3914,90022
12/30/2023,Vegan Alfredo Sauce,87,15273,1328751
1/22/2024,Digital Food Scale,18,9217,165906
11/27/2024,Chocolate Almond Milk,50,11054,552700
4/15/2024,Creamy Ranch Dressing,54,197,10638
5/9/2023,Mashed Sweet Potatoes,48,7797,374256
2/9/2025,Folding Exercise Bike,27,19459,525393
2/2/2024,Italian Meatballs,2,2849,5698
11/19/2022,Leather Biker Jacket,74,14700,1087800
2/12/2023,V-Neck Sweater,7,10237,71659
10/18/2023,Thai Peanut Noodles,99,10530,1042470
9/23/2024,Electric Blanket,75,10094,757050
5/10/2024,Canvas High-Top Sneakers,51,11593,591243
9/26/2023,Savory Quinoa Pudding,67,13337,893579
10/6/2023,3D Night Light,98,7781,762538
8/2/2024,Eco-Friendly Yoga Mat,99,16979,1680921
3/2/2023,Fitness Jump Rope,1,3933,3933
1/1/2025,Honey BBQ Ribs,73,1274,93002
4/3/2024,Veggie Chips Variety Pack,51,17064,870264
2/16/2025,Marinara Sauce,21,15600,327600
2/14/2023,Savory Oats,93,1256,116808
1/5/2023,Whole Grain Hamburger Buns,24,16524,396576
10/4/2023,Cucumber Relish,24,11989,287736
8/29/2023,Watering Can with Nozzle,5,11080,55400
9/18/2023,Outdoor String Lights,37,3781,139897
3/19/2023,Nutritional Yeast,82,13352,1094864
12/6/2024,Wall-Mounted Organizer,85,15513,1318605
11/11/2024,Sweet Cherry Tomatoes,80,6581,526480
9/14/2023,Coconut Milk Yogurt,73,19441,1419193
11/24/2023,Compressed Towel Tablets,42,7599,319158
7/9/2023,Travel Pillow,18,19098,343764
11/30/2024,Organic Italian Seasoning,73,5114,373322
6/4/2023,Italian Sausage Links,51,7663,390813
12/7/2023,Instant Camera,76,417,31692
9/8/2024,Wildflower Honey,58,7314,424212
6/25/2024,Toilet Paper (12 rolls),75,4116,308700
9/17/2023,Chickpea Pasta,13,1902,24726
7/22/2023,Fashionable Belt Bag,41,16883,692203
1/24/2025,Fitness Jump Box,49,15563,762587
3/19/2023,Electric Hot Pot,28,742,20776
9/19/2022,Chicken Sausage,25,16018,400450
2/11/2025,Fitness Tracker with Heart Rate Monitor,89,5198,462622
10/5/2024,High-Quality Yoga Block,49,19531,957019
3/8/2023,Cable Knit Beanie,15,1720,25800
8/25/2024,Lemonade Mix,90,15834,1425060
8/11/2024,Canned Black Beans,35,19434,680190
4/9/2023,Pet Safety Harness,50,9553,477650
7/10/2023,Foldable Yoga Mat,75,3078,230850
11/2/2024,Chilli Lime Corn on the Cob,18,2773,49914
2/15/2025,Vegan Protein Powder,53,16429,870737
1/20/2024,Camping Tent,28,10054,281512
10/30/2023,Pineapple Coconut Rice Mix,18,19166,344988
9/4/2022,Belted Trench Coat,3,1054,3162
9/14/2024,Tennis Racket,13,18128,235664
1/6/2024,Bamboo Utensil Holder,34,17252,586568
7/20/2024,Glass Food Containers,71,3672,260712
10/10/2023,Scent Diffuser,13,14280,185640
11/13/2024,Frozen Hash Browns,16,128,2048
5/30/2023,Foldable Electric Scooter,85,12694,1078990
11/8/2022,Coconut Cream Pie Yogurt,85,9094,772990
11/10/2024,Recipe Book Stand,61,15436,941596
4/27/2024,Apricot Jam,64,5460,349440
10/23/2024,Spicy Tuna Rolls,88,3526,310288
11/4/2022,Personalized Keychain,53,9444,500532
10/12/2023,Herbed Chicken Breast,11,10710,117810
6/18/2024,Pumpkin Spice Creamer,35,19026,665910
12/29/2022,Water Bottle with Built-in Fruit Infuser,17,6959,118303
12/6/2023,Herbed Mushroom Risotto,94,17184,1615296
3/10/2023,Fitness Resistance Bands Kit,45,5054,227430
6/18/2024,Honey Butter Popcorn,64,7233,462912
2/12/2025,Teriyaki Chicken Stir-Fry,62,11783,730546
3/2/2025,Tea Set with Infuser,49,1083,53067
1/12/2023,Pet Food Storage Container,22,12604,277288
1/30/2024,Spinach Artichoke Dip,100,6720,672000
12/16/2022,Sweet Corn,21,8681,182301
1/25/2024,Pet Grooming Brush,82,1132,92824
9/14/2022,Portable Camping Shower,28,19775,553700
4/27/2023,Pesto Pasta Sauce,43,17127,736461
1/9/2024,Caramel Sauce,95,6120,581400
8/13/2023,Garden Kneeler and Seat,16,15057,240912
7/7/2023,Dark Chocolate Tart,52,11344,589888
9/7/2023,Matcha Green Tea Powder,63,14758,929754
10/30/2022,Travel Mug,29,4041,117189
1/3/2023,Blender Bottle,68,15419,1048492
8/24/2024,Adjustable Kitchen Broom Stand,9,11586,104274
12/12/2023,Insulated Wine Tote,92,10900,1002800
3/7/2025,Mini Projector,25,17300,432500
1/16/2024,Foam Roller for Muscle Recovery,12,14034,168408
11/19/2022,Camping Lantern,66,6770,446820
10/19/2023,Margherita Pizza,24,9774,234576
8/7/2023,Leather Crossbody Bag,23,8590,197570
3/31/2024,Wild Rice & Quinoa Mix,80,6081,486480
1/15/2025,Relaxed Fit Henley Shirt,41,269,11029
8/10/2023,Oven-Baked Chicken Tenders,74,15439,1142486
2/5/2025,Greek Yogurt,5,9274,46370
11/10/2023,Carrot and Celery Sticks,97,16959,1645023
12/30/2024,Comfort Flats,70,18311,1281770
7/5/2023,Teriyaki Salmon Fillets,11,9130,100430
3/11/2023,Almond Milk,10,16495,164950
2/10/2023,Portable Massage Table,83,1742,144586
1/11/2024,Fettuccine Alfredo Dinner Kit,9,16898,152082
10/25/2023,Sweet Potato Fries,37,6365,235505
5/28/2023,Cheesy Broccoli Soup Mix,7,15388,107716
3/5/2024,Coconut Almond Granola,96,11585,1112160
6/14/2024,Mesh Laundry Bags Set,2,10909,21818
8/25/2024,LED Table Lamp,7,13300,93100
5/3/2024,Mediterranean Olives,10,10554,105540
12/19/2024,Scented Candles,91,16715,1521065
6/13/2024,Baked Potato Chips,15,13420,201300
1/18/2024,Organic Vanilla Bean Ice Cream,67,5547,371649
2/28/2023,Kids' Gardening Tools Set,58,1734,100572
1/23/2024,Herbal Tea Infuser,37,14618,540866
9/8/2024,Zucchini Noodles,17,5756,97852
12/15/2023,Sporty Leggings,26,4911,127686
4/27/2023,LED Christmas Tree Lights,52,12677,659204
3/11/2023,Handmade Leather Journal,96,15581,1495776
11/25/2023,Frozen Acai Purée,32,10468,334976
3/26/2024,Organic Baby Carrots,31,16132,500092
1/5/2023,Sweet BBQ Dipping Sauce,60,15504,930240
4/10/2023,Compact Refrigerator,26,950,24700
10/13/2024,Travel Mug with Leak-Proof Lid,38,5068,192584
5/1/2023,Pet Caress Brush,37,3706,137122
7/3/2024,DIY Organic Gardening Kit,59,17945,1058755
8/16/2023,Heart-Shaped Baking Molds,82,8269,678058
12/24/2024,Carrot Ginger Soup,15,5113,76695
7/1/2024,Throw Pillow Covers,84,1433,120372
6/13/2024,Colorful Post-It Notes Set,92,18217,1675964
4/7/2023,Organic Sweet Potatoes,68,5926,402968
8/28/2024,Almond Flour,1,16518,16518
3/9/2024,Honey Roasted Almonds,100,5187,518700
3/21/2025,Banana Nut Muffins,49,7267,356083
9/12/2023,Gluten-Free Brownies,58,10898,632084
1/30/2025,Set of Herb Garden Markers,67,15095,1011365
10/3/2022,LED Disco Ball Light,58,14666,850628
6/21/2023,Outdoor Picnic Blanket,20,13781,275620
9/21/2022,Portable Hammock,14,10789,151046
5/6/2024,Comfortable Jogger Pants,61,5631,343491
11/3/2022,Walnut Halves,67,16306,1092502
11/22/2023,Yoga Mat Carrier,19,12119,230261
12/17/2023,Sea Salt Tortilla Chips,89,13729,1221881
3/28/2023,Athletic Jogging Jacket,74,12237,905538
11/1/2024,Sweet Corn,16,14769,236304
9/6/2023,Beef Chili,58,1701,98658
3/29/2023,Gardening Kneeler and Seat,44,9024,397056
1/2/2024,Spicy Thai Coconut Soup,63,16475,1037925
2/5/2023,Aged White Cheddar Popcorn,88,13289,1169432
9/1/2023,Turmeric Ginger Tea,78,4315,336570
11/26/2023,Folding Table,34,18545,630530
4/4/2024,Honey BBQ Ribs,4,1991,7964
12/30/2024,Chocolate Mint Cookies,72,16490,1187280
4/14/2024,Multi-Function Smartphone Holder,19,18462,350778
11/23/2023,Silicone Stretch Lids,33,1998,65934
2/7/2023,Chili Lime Shrimp,59,6021,355239
11/15/2023,Coconut Curry Lentils,45,691,31095
4/20/2024,Cocktail Shaker and Mixing Glass Set,45,6675,300375
8/15/2023,Roasted Vegetable Medley,46,17343,797778
9/4/2023,Pressure Cooker,17,6072,103224
11/6/2024,Microwave Popcorn Maker,32,14082,450624
4/12/2024,Flavored Popcorn Mix,28,1186,33208
10/12/2023,Chunky Knit Sweater,48,11721,562608
8/18/2024,Home Karaoke System,17,2621,44557
2/12/2023,Spicy Beef Taco Mix,100,13690,1369000
10/22/2023,Dog Waste Bag Dispenser,36,18971,682956
5/5/2024,Mango Salsa,26,13685,355810
7/9/2023,Handmade Wooden Utensil Set,13,16866,219258
4/1/2025,Fitness Resistance Bands Set,33,1022,33726
5/1/2023,Portable Hand Warmer,67,2916,195372
11/27/2023,Buffalo Stilton Cheese,71,15656,1111576
2/26/2023,Pumpkin Spice Granola,18,19097,343746
3/9/2025,Infrared Thermometer Gun,37,16660,616420
10/2/2024,Wireless Earbud Silicone Covers,1,8523,8523
8/12/2024,Infrared Thermometer Gun,10,6110,61100
3/24/2024,Tuscan Bean Soup,83,18205,1511015
10/15/2024,Ultraviolet Phone Sanitizer,55,13687,752785
7/18/2024,Pear and Gorgonzola Salad,20,2419,48380
9/1/2022,Party Mini Dress,15,1195,17925
9/29/2024,Apple Cinnamon Oatmeal,79,16818,1328622
11/17/2022,Savory Oats,36,10275,369900
3/12/2025,Sushi Rice,90,16898,1520820
11/19/2024,Wireless Mouse,56,19254,1078224
3/24/2023,Chic Ankle Strap Heels,32,5705,182560
8/29/2024,Wall Decals for Kids,66,2178,143748
2/19/2023,Cabbage,48,999,47952
10/19/2024,Cooking Utensil Set,19,4727,89813
10/23/2022,Dark Chocolate Covered Raisins,37,18456,682872
1/23/2024,Quinoa Salad,45,2418,108810
1/19/2025,Coconut Milk Ice Cream,36,8302,298872
2/20/2025,Caribbean Jerk Marinade,38,12287,466906
3/8/2025,Warm Wool Sweater,73,6954,507642
9/20/2024,Chili Powder,40,2919,116760
11/30/2022,Vegetable Korma,43,18194,782342
12/21/2023,Chocolate Chip Cliff Bars,24,1354,32496
12/4/2022,Portable Water Filter,60,11574,694440
12/26/2023,Men's Waterproof Hiking Boots,7,12451,87157
9/17/2023,LED Disco Ball Light,16,14906,238496
7/6/2024,Cat Tree,64,11736,751104
1/23/2025,Cinnamon Rolls,52,14712,765024
4/10/2023,Vegetable Fried Rice Mix,3,8876,26628
2/15/2025,Multi-Purpose Marine Rope,34,19650,668100
11/23/2023,Beef Chili,80,10318,825440
9/10/2023,Organic Green Tea,59,11958,705522
4/8/2023,Portable Laptop Table,35,9063,317205
7/7/2023,Canned Coconut Milk,70,12160,851200
12/29/2022,Portable Camping Stove,77,11309,870793
10/14/2024,Peanut Butter Cookies,14,8164,114296
6/2/2024,Skincare Set,71,16935,1202385
2/14/2025,Honey,91,3841,349531
3/15/2025,Stainless Steel BBQ Grill Set,20,4442,88840
3/14/2024,Crispy Onion Rings,26,329,8554
5/17/2023,Silicone Baking Mat,12,11432,137184
11/2/2022,Leather Biker Jacket,100,7532,753200
9/11/2024,Red Lentils,99,11714,1159686
3/28/2023,Organic Fruit Salad,44,2827,124388
3/15/2024,Veggie Lovers Pizza,34,2690,91460
6/30/2023,Pet Waterer with Filtration,65,14607,949455
2/12/2024,Hand Mixer,34,7389,251226
11/10/2022,Mediterranean Flatbread,50,13053,652650
12/28/2024,Quinoa and Kale Salad Kit,33,12812,422796
4/29/2023,Mediterranean Couscous,22,16169,355718
8/24/2024,Berries Medley,11,10847,119317
10/2/2023,Cork Yoga Mat,56,9824,550144
2/27/2023,Watercolor Set,100,12177,1217700
9/28/2024,LED Flashlight with Rechargeable Batteries,2,19173,38346
8/10/2023,Chiffon Blouse,29,3705,107445
8/24/2023,Instant Pot,17,4224,71808
2/18/2025,Coconut Curry Lentils,32,18315,586080
1/31/2025,Fruit and Nut Bars,79,3135,247665
3/2/2025,Mediterranean Couscous Salad,93,17950,1669350
11/9/2023,Yoga Blocks,12,6760,81120
5/14/2024,Couscous,82,2542,208444
10/28/2023,Vegan Alfredo Sauce,38,4085,155230
4/8/2024,Frozen Broccoli,69,2972,205068
9/13/2022,Peanut Butter Chocolate Chip Bars,97,11283,1094451
10/2/2022,Inflatable Pool Float,99,6551,648549
6/17/2023,Smart LED Light Strip,73,6131,447563
2/7/2023,Savory Snack Mix,97,13364,1296308
3/3/2024,Digital Alarm Clock,4,7754,31016
2/5/2025,Kettle Chip Variety Pack,47,17311,813617
4/20/2024,Laptop Backpack,60,19760,1185600
11/16/2022,Jump Rope with Counter,60,10688,641280
1/11/2025,Digital Drawing Tablet,2,16201,32402
12/26/2024,Kids' Activity Book,15,2782,41730
11/30/2023,Frozen Cauliflower Rice,43,15917,684431
3/9/2023,Vanilla Almond Granola,72,14116,1016352
6/5/2023,Travel Laundry Bag,48,7299,350352
12/28/2022,Slim Fit Chinos,28,7169,200732
10/10/2024,Crispy Kale Chips,15,12386,185790
4/2/2024,Electric Air Pump,58,4684,271672
7/16/2023,Almond Flour Biscuits,71,14102,1001242
9/30/2023,LED Disco Ball Light,21,5143,108003
3/30/2025,Car Vacuum,82,11465,940130
12/24/2023,Tomato Paste,58,14273,827834
11/22/2023,Cucumber,76,2660,202160
3/7/2025,Wireless Charger,50,6673,333650
10/16/2022,Cinnamon Roll Dough,39,17894,697866
7/30/2023,Apple Cinnamon Granola,55,3103,170665
1/3/2025,Cinnamon Roll Protein Bar,81,1453,117693
6/15/2024,Solar Garden Lights,85,1947,165495
3/1/2024,Caramel Apple Chips,100,11892,1189200
6/30/2024,Himalayan Salt Grinder,17,12598,214166
4/29/2023,Honey Mustard Dip,75,12040,903000
8/11/2024,Travel Mug with Leak-Proof Lid,16,2671,42736
1/3/2025,Children's Art Set,64,19490,1247360
9/23/2022,Spinach and Ricotta Ravioli,1,1034,1034
8/24/2023,Instant Read Meat Thermometer,58,7927,459766
9/10/2024,Potting Soil,80,6511,520880
10/8/2024,Electric Opener for Jars and Bottles,4,4434,17736
9/7/2022,Electric Meat Grinder,10,9590,95900
1/14/2025,Wall-Mounted Spice Rack,44,1603,70532
10/30/2024,Energy Protein Bars,62,1268,78616
6/5/2023,Wireless Keyboard and Mouse Combo,13,18215,236795
10/7/2023,Essential Oil Diffuser,97,2623,254431
9/25/2022,Buffalo Chicken Dip,2,13141,26282
2/17/2023,Winter Insulated Jacket,29,6067,175943
8/11/2024,Classic Beef Chili,40,827,33080
12/17/2022,Collapsible Storage Crates,76,964,73264
3/26/2025,High-Quality Yoga Block,47,779,36613
7/23/2024,Fresh Lemons,99,19030,1883970
9/22/2023,Cinnamon Roll Kit,28,11851,331828
9/16/2024,Coconut Granola,6,16953,101718
1/5/2023,Lemon Dill Chicken Skewers,2,1875,3750
11/1/2024,Chicken Sausage,38,7234,274892
10/30/2022,Peach Mango Smoothie,72,16352,1177344
10/8/2023,Ice Cream Maker,55,10493,577115
1/3/2023,Sunflower Seeds,75,4822,361650
4/5/2024,Almond Flour Biscuits,50,15565,778250
10/6/2024,Adjustable Pet Feeder,41,7328,300448
12/1/2024,LED Disco Ball Light,30,16380,491400
5/5/2024,Active Racerback Tank,27,16910,456570
12/27/2024,Snack Container Set,99,2249,222651
3/13/2025,Mini Air Hockey Table,5,1237,6185
4/3/2024,Asian Noodle Salad Kit,41,16464,675024
10/28/2023,Asian Noodle Salad Kit,55,14363,789965
1/15/2024,Sliced Turkey Breast,68,13801,938468
11/14/2022,Jasmine Rice,7,7168,50176
2/8/2024,Coconut Chia Seed Pudding,26,16403,426478
2/2/2023,Smart Thermostat with Wi-Fi,13,13777,179101
3/19/2024,Wall Calendar,13,19662,255606
10/3/2024,Lemon Zest Olive Oil,81,13961,1130841
12/29/2023,Electric Toothbrush Holder,37,9434,349058
3/30/2023,Honey BBQ Ribs,8,1939,15512
10/6/2022,Fitbit Activity Tracker,94,12009,1128846
8/27/2023,Classic Slim Fit Shirt,58,8015,464870
6/6/2023,Chicken Sausage,14,7208,100912
1/27/2025,Puzzle,46,2807,129122
3/29/2024,Black Bean Soup,89,2036,181204
10/2/2023,Yoga Mat Carrier,89,10780,959420
9/4/2022,Sweet and Sour Sauce,9,1695,15255
3/12/2024,Car Phone Mount,51,10020,511020
6/25/2024,Smashed Avocado with Lime,14,18682,261548
9/6/2023,Lentil Vegetable Stew,14,19533,273462
10/24/2023,Walnut Halves,94,17696,1663424
9/24/2023,Woven Storage Baskets,89,7222,642758
5/3/2023,Pet Carrier Backpack,52,8891,462332
11/25/2023,Vegetarian Pizza,46,1427,65642
10/25/2024,Ceramic Cookware Set,34,12196,414664
2/28/2025,Digital Photo Frame,52,15908,827216
4/21/2023,Roasted Red Pepper Dip,66,18915,1248390
6/3/2024,Multi-Port USB Hub,98,19785,1938930
11/25/2023,Vegetable Medley,17,18506,314602
3/18/2025,Tandoori Chicken Marinade,43,5257,226051
8/29/2024,Gluten-Free Bread,86,19420,1670120
6/25/2023,Plant-Based Cookbook,89,13796,1227844
10/22/2023,Sweet Potato Fries,79,325,25675
10/25/2022,Yoga Blocks,22,10983,241626
6/15/2024,Stuffed Bell Peppers,94,14624,1374656
5/4/2023,Herbal Tea Sampler Box,27,14466,390582
2/19/2025,Organic Whole Wheat Flour,15,14076,211140
9/8/2023,Frozen Salmon Filets,6,14401,86406
5/23/2024,Spicy BBQ Sauce,63,407,25641
9/22/2024,Portable Solar Phone Charger,47,19944,937368
1/24/2023,Herb Drying Rack,70,3557,248990
6/29/2023,Banana Peanut Butter Smoothie,15,7787,116805
3/25/2023,Honey Mustard Chicken Breasts,24,16595,398280
4/20/2023,Pasta Salad Kit,42,14890,625380
5/2/2023,Sweet Chili Sauce,13,8057,104741
5/3/2023,Self-Stirring Mug,65,11860,770900
10/1/2023,Adjustable Pet Feeder,65,15591,1013415
12/26/2024,Beef Enchilada Casserole,79,10905,861495
10/3/2022,Shower Curtain Hooks,49,16129,790321
2/2/2025,Kids' Gardening Tools Set,64,2564,164096
5/15/2024,Insulated Wine Tote,11,13004,143044
12/2/2024,Teriyaki Chicken Bowl,60,6577,394620
2/6/2025,Children's Gardening Set,49,14303,700847
12/15/2024,Yoga Wheel,57,15420,878940
5/8/2023,Car Windshield Sun Shade,18,12405,223290
6/29/2023,Yoga Mat Carrier,6,6687,40122
4/13/2024,Slingback Sandals,68,14635,995180
7/14/2023,Camping Lantern,86,8983,772538
1/11/2024,Classic White T-Shirt,42,12812,538104
3/31/2023,Chickpea Pancakes,68,7429,505172
7/14/2024,Luxury Bath Robe,75,1031,77325
5/25/2023,Andouille Sausage,4,12032,48128
9/2/2024,High-Low Hem Tee,77,10492,807884
11/5/2023,Automatic Pet Feeder,34,8515,289510
12/15/2023,Traditional Hummus,7,14145,99015
9/6/2022,Pet Travel Backpack Carrier,78,11309,882102
2/15/2025,Miso Soup Starter,48,7884,378432
8/7/2023,Basic V-Neck T-Shirt,67,6943,465181
7/19/2024,Smoked Gouda Cheese,11,7447,81917
5/30/2024,Chocolate Mint Thins,53,2680,142040
7/16/2023,Fitness Resistance Bands Kit,24,15789,378936
7/18/2024,Almond Butter Cups,74,7334,542716
